City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Hofn,IS,64.2539,-15.2082,33.01,66,12,21.68,few clouds
133,Volchikha,RU,52.0333,80.3833,18.54,93,100,14.32,light snow
134,Nikolskoye,RU,59.7035,30.7861,19.29,92,86,7.2,overcast clouds
135,Katsuura,JP,35.1333,140.3,46.42,93,100,6.17,light rain
136,Tazovskiy,RU,67.4667,78.7,-13.79,95,100,7.92,overcast clouds
137,La Ronge,CA,55.1001,-105.2842,-1.98,98,9,5.28,clear sky
138,Qaqortoq,GL,60.7167,-46.0333,13.41,65,0,7.92,clear sky
139,San Patricio,US,28.017,-97.5169,74.17,86,100,17.22,overcast clouds
140,Vostok,RU,46.4856,135.8833,17.46,91,100,6.46,light snow
141,Bani Walid,LY,31.7566,13.9942,61.16,65,45,7.31,scattered clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,78,100,14.97,light snow
143,Port Elizabeth,ZA,-33.918,25.5701,72.1,98,100,1.99,overcast clouds
144,Tura,IN,25.5198,90.2201,63.86,74,7,1.79,clear sky
145,Axim,GH,4.8699,-2.2405,77.36,87,3,5.39,light rain
146,Kavaratti,IN,10.5669,72.642,80.44,80,100,20.29,light rain
147,Mayo,US,38.8876,-76.5119,41.18,70,100,10.36,overcast clouds
148,Saint George,US,37.1041,-113.5841,39.94,72,0,3.44,clear sky
149,Thompson,CA,55.7435,-97.8558,15.57,98,100,4.21,overcast clouds
150,Husavik,IS,66.0449,-17.3389,27.36,89,100,10.83,light snow
151,Narsaq,GL,60.9167,-46.05,17.82,61,0,8.39,clear sky
152,Whitianga,NZ,-36.8333,175.7,67.23,80,96,7.96,overcast clouds
153,Christchurch,NZ,-43.5333,172.6333,72.41,69,20,23.02,few clouds
154,Maple Creek,CA,49.9168,-109.4848,-1.05,99,95,4.21,overcast clouds
155,Atherton,GB,53.5237,-2.4935,34.29,93,100,3.83,overcast clouds
156,Harper,LR,4.375,-7.7169,78.26,81,84,6.02,broken clouds
157,Gaoua,BF,10.2992,-3.2508,71.46,18,6,4.07,clear sky
158,Ossora,RU,59.2353,163.0719,4.42,83,100,7.83,overcast clouds
159,Uglovskoye,RU,51.3557,80.1942,18.39,95,100,14.92,light snow
160,Roald,NO,62.5833,6.1333,22.33,73,0,10.36,clear sky
161,Ouallam,NE,14.3188,2.0866,68.41,13,80,11.1,broken clouds
162,Misratah,LY,32.3754,15.0925,65.07,78,5,8.1,clear sky
163,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.56,95,100,20.6,overcast clouds
164,Qaanaaq,GL,77.484,-69.3632,-2.24,66,100,7.9,overcast clouds
165,Ponta Do Sol,PT,32.6667,-17.1,72.72,89,100,12.03,light rain
166,Ancud,CL,-41.8697,-73.8203,54.28,91,93,4.56,overcast clouds
167,Nioki,CD,-2.7167,17.6833,69.85,97,100,3.74,moderate rain
168,Wanning,CN,18.8003,110.3967,64.81,67,11,13.06,few clouds
169,Jiaozhou,CN,36.2839,120.0033,36.68,28,49,16.35,scattered clouds
170,Mitsamiouli,KM,-11.3847,43.2844,79.92,78,77,9.8,light rain
171,Claveria,PH,18.6074,121.0832,76.91,88,96,14.47,overcast clouds
172,Cayenne,GF,4.9333,-52.3333,75.24,94,75,3.44,broken clouds
173,Roma,US,43.2128,-75.4557,18.95,79,5,3.67,clear sky
174,Faanui,PF,-16.4833,-151.75,77.52,78,100,23.98,overcast clouds
175,Bilibino,RU,68.0546,166.4372,-32.6,100,100,5.32,overcast clouds
176,Saint-Lo,FR,49.1162,-1.0903,27.03,66,95,7.54,overcast clouds
177,Pandharpur,IN,17.6667,75.3333,70.59,83,85,9.33,overcast clouds
178,Coihaique,CL,-45.5752,-72.0662,56.01,99,100,7.56,overcast clouds
179,Bilma,NE,18.6853,12.9164,66.33,15,98,4.59,overcast clouds
180,Geraldton,AU,-28.7667,114.6,91.81,14,0,20.71,clear sky
181,Esperance,AU,-33.8667,121.9,64.96,55,88,15.1,overcast clouds
182,Nome,US,64.5011,-165.4064,16.72,95,86,3.11,overcast clouds
183,Emerald,AU,-23.5333,148.1667,95.59,37,21,7.9,few clouds
184,Mount Gambier,AU,-37.8333,140.7667,55.04,48,97,15.23,overcast clouds
185,Shitanjing,CN,39.2342,106.3439,14.83,44,50,13.62,scattered clouds
186,Tilichiki,RU,60.4667,166.1,11.7,93,100,4.88,light snow
187,Alofi,NU,-19.0595,-169.9187,77.95,72,58,20.98,broken clouds
188,Synya,RU,65.3718,58.0387,-27.31,100,63,1.3,broken clouds
189,Seda,LV,57.65,25.75,16.16,94,98,7.65,overcast clouds
190,Gushikawa,JP,26.3544,127.8686,69.03,68,75,12.66,broken clouds
191,Yuancheng,CN,36.652,107.7896,22.1,37,100,15.37,overcast clouds
192,Bulaevo,KZ,54.9056,70.4439,12.6,95,100,4.76,overcast clouds
193,Nadym,RU,65.5333,72.5167,-19.05,98,32,3.11,scattered clouds
194,Altay,CN,47.8667,88.1167,5.16,87,100,1.1,overcast clouds
195,Amarillo,US,35.222,-101.8313,54.23,59,3,5.01,clear sky
196,Georgetown,MY,5.4112,100.3354,82.33,84,20,1.14,few clouds
197,Sulangan,PH,11.1373,123.7228,81.5,78,99,6.2,overcast clouds
198,Nouadhibou,MR,20.931,-17.0347,70.36,69,0,14.16,clear sky
199,Tomatlan,MX,19.9333,-105.25,70.03,80,2,2.42,clear sky
200,Sibolga,ID,1.7427,98.7792,76.48,90,91,2.95,overcast clouds
201,Russell,US,32.3502,-85.1999,58.96,88,40,4.61,scattered clouds
202,Cabo San Lucas,MX,22.8909,-109.9124,74.52,70,97,10.71,overcast clouds
203,Iisalmi,FI,63.5592,27.1907,16.14,92,100,12.26,light snow
204,Thunder Bay,CA,48.4001,-89.3168,30.22,82,100,10.02,overcast clouds
205,Herbeumont,BE,49.7809,5.2358,25.92,77,14,9.08,few clouds
206,Pevek,RU,69.7008,170.3133,-12.82,94,100,25.08,light snow
207,Santa Maria,BR,-29.6842,-53.8069,65.79,89,39,13.0,scattered clouds
208,Ahtopol,BG,42.1,27.95,42.1,94,100,22.68,overcast clouds
209,Farsund,NO,58.0948,6.8047,24.94,28,99,16.58,overcast clouds
210,Zhaoyuan,CN,37.3592,120.3964,35.55,39,49,21.88,scattered clouds
211,Kutum,SD,14.2,24.6667,56.62,20,84,5.61,broken clouds
212,Staryy Nadym,RU,65.6118,72.6842,-18.99,97,32,3.2,scattered clouds
213,Dingle,PH,10.9995,122.6711,82.98,78,82,7.29,broken clouds
214,Talnakh,RU,69.4865,88.3972,-12.8,99,100,7.94,light snow
215,Aklavik,CA,68.2191,-135.0107,-1.3,98,100,5.28,light snow
216,Tuatapere,NZ,-46.1333,167.6833,73.8,39,75,2.8,broken clouds
217,Rio Grande,BR,-32.035,-52.0986,63.0,74,100,4.43,overcast clouds
218,Karwar,IN,14.8,74.1333,75.85,84,79,6.58,broken clouds
219,Kochubey,RU,44.3861,46.5825,43.88,64,99,20.78,overcast clouds
220,Great Yarmouth,GB,52.6083,1.7305,32.02,68,6,6.85,clear sky
221,Syracuse,IT,37.0881,15.2792,47.57,72,100,6.6,overcast clouds
222,Ndele,CF,8.4109,20.6473,69.15,21,7,4.85,clear sky
223,Itacare,BR,-14.2775,-38.9967,77.23,88,29,9.95,scattered clouds
224,Taree,AU,-31.9,152.4667,79.07,19,0,6.73,clear sky
225,Tommot,RU,58.9564,126.2925,-44.79,99,95,0.81,overcast clouds
226,Semibratovo,RU,57.3046,39.5369,33.66,98,100,14.09,light snow
227,Coquimbo,CL,-29.9533,-71.3436,60.53,94,0,5.75,clear sky
228,Guerrero Negro,MX,27.9769,-114.0611,60.13,58,0,13.33,clear sky
229,Saurimo,AO,-9.6608,20.3916,64.15,98,100,3.02,light rain
230,Bonavista,CA,48.6499,-53.1147,33.3,88,100,13.29,overcast clouds
231,Gua Musang,MY,4.8823,101.9644,77.27,94,86,1.19,overcast clouds
232,Jala,MX,21.0833,-104.4333,61.3,67,35,2.59,scattered clouds
233,Luderitz,NA,-26.6481,15.1594,63.03,90,15,3.18,few clouds
234,Lotofaga,WS,-13.9764,-171.8578,87.58,72,35,4.97,scattered clouds
235,Hamilton,US,39.1834,-84.5333,39.76,72,95,3.0,overcast clouds
236,Udachnyy,RU,66.4167,112.4,-10.55,76,94,6.85,overcast clouds
237,Krasnyy Yar,RU,46.5331,48.3456,15.73,88,6,13.6,clear sky
238,Tabuk,PH,17.4189,121.4443,74.16,91,100,2.68,overcast clouds
239,Muros,ES,42.7762,-9.0603,62.83,91,100,11.88,overcast clouds
240,Grindavik,IS,63.8424,-22.4338,27.07,74,8,8.05,clear sky
241,Druzhba,UA,52.0428,33.9453,29.44,83,100,6.53,overcast clouds
242,Shibetsu,JP,43.659,145.132,40.12,89,100,21.94,overcast clouds
243,Touros,BR,-5.1989,-35.4608,78.08,77,52,10.16,broken clouds
244,Bethanien,NA,-26.502,17.1583,61.81,57,0,0.54,clear sky
245,Linxia,CN,35.6003,103.2064,22.15,47,44,1.52,scattered clouds
246,Moindou,NC,-21.6924,165.677,81.37,61,9,9.91,clear sky
247,Mehamn,NO,71.0357,27.8492,21.11,68,100,13.8,overcast clouds
248,Leh,IN,34.1667,77.5833,13.6,58,0,0.74,clear sky
249,Fortuna,US,40.5982,-124.1573,43.93,90,100,5.75,overcast clouds
250,Onokhoy,RU,51.932,108.0747,-4.25,87,73,8.32,broken clouds
251,Casino,AU,-28.8667,153.05,77.56,45,59,10.89,broken clouds
252,Natal,BR,-5.795,-35.2094,77.65,88,40,3.44,scattered clouds
253,Mpraeso,GH,6.5932,-0.7346,69.55,89,1,2.21,clear sky
254,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,87,100,18.12,overcast clouds
255,Derzhavinsk,KZ,51.1,66.3167,11.23,77,100,9.17,overcast clouds
256,Veraval,IN,20.9,70.3667,74.23,55,4,11.65,clear sky
257,Illela,NG,13.7292,5.2975,66.67,17,7,10.71,clear sky
