City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
498,Nikolayevsk-Na-Amure,RU,2022-12-08 02:32:01,53.1406,140.73,-16.58,81,6,1.89
499,Beyneu,KZ,2022-12-08 02:32:02,45.3167,55.2,-8.28,62,0,4.28
500,Gazanjyk,TM,2022-12-08 02:32:02,39.2446,55.5154,-0.49,47,100,5.89
501,Nouadhibou,MR,2022-12-08 02:32:03,20.931,-17.0347,18.84,77,98,4.59
502,Jacksonville,US,2022-12-08 02:31:40,30.3322,-81.6556,20.02,85,0,0.0
503,Kpandae,GH,2022-12-08 02:32:05,8.4689,-0.0113,24.76,40,2,1.58
504,Lavrentiya,RU,2022-12-08 02:32:06,65.5833,-171.0,-11.17,90,27,3.4
505,Kudahuvadhoo,MV,2022-12-08 02:32:07,2.6708,72.8944,27.46,80,100,6.4
506,Winnemucca,US,2022-12-08 02:32:08,40.973,-117.7357,-1.97,86,0,3.09
507,Boa Vista,BR,2022-12-08 02:32:09,2.8197,-60.6733,23.99,88,75,1.03
508,Sabang,ID,2022-12-08 02:32:10,5.8933,95.3214,27.47,70,100,1.26
509,Dudinka,RU,2022-12-08 02:32:11,69.4058,86.1778,-29.1,96,100,4.09
510,Lincoln,US,2022-12-08 02:28:40,40.8,-96.667,-2.06,76,0,4.12
511,Ukiah,US,2022-12-08 02:32:13,39.1502,-123.2078,7.94,84,75,0.0
512,Kasongo-Lunda,CD,2022-12-08 02:33:14,-6.4667,16.8167,19.82,89,100,0.45
513,Semirom,IR,2022-12-08 02:33:15,31.4167,51.5667,-1.0,89,34,0.95
514,Hualmay,PE,2022-12-08 02:33:16,-11.0964,-77.6139,18.67,88,97,2.59
515,Silopi,TR,2022-12-08 02:33:17,37.2497,42.4694,5.65,63,99,1.08
516,Port Blair,IN,2022-12-08 02:32:16,11.6667,92.75,27.38,77,42,4.44
517,Nurota,UZ,2022-12-08 02:33:19,40.5614,65.6886,-6.66,83,100,2.5
518,Kitimat,CA,2022-12-08 02:33:20,54.0524,-128.6534,0.51,29,100,0.88
519,Bhandara,IN,2022-12-08 02:33:21,21.1667,79.65,15.89,43,51,3.55
520,Bhimavaram,IN,2022-12-08 02:33:22,16.5333,81.5333,22.66,57,100,4.04
521,Zhangjiakou,CN,2022-12-08 02:33:23,40.81,114.8794,-2.01,43,3,1.58
522,Maldonado,UY,2022-12-08 02:33:24,-34.6667,-54.9167,22.35,59,61,6.09
523,Huarmey,PE,2022-12-08 02:33:25,-10.0681,-78.1522,18.56,88,98,2.96
524,Ulaanbaatar,MN,2022-12-08 02:30:57,47.9077,106.8832,-27.93,69,8,0.0
525,Mutis,CO,2022-12-08 02:33:26,6.2262,-77.4044,24.45,87,16,1.92
526,Urumqi,CN,2022-12-08 02:33:27,43.801,87.6005,-15.47,85,40,1.0
527,Nago,JP,2022-12-08 02:33:28,26.5881,127.9761,23.24,65,74,8.18
528,Tilichiki,RU,2022-12-08 02:33:29,60.4667,166.1,-12.1,95,100,4.14
529,At-Bashi,KG,2022-12-08 02:33:30,41.1702,75.8106,-11.25,90,96,0.93
530,Katherine,AU,2022-12-08 02:33:31,-14.4667,132.2667,34.18,38,100,2.57
531,San Rafael,AR,2022-12-08 02:33:32,-34.6177,-68.3301,27.92,10,0,5.18
532,Ketchikan,US,2022-12-08 02:33:33,55.3422,-131.6461,6.99,87,100,9.77
533,Cosala,MX,2022-12-08 02:33:34,24.4125,-106.6908,20.0,67,2,1.3
534,Pirajui,BR,2022-12-08 02:33:35,-21.9986,-49.4572,21.72,90,1,0.76
535,Kichmengskiy Gorodok,RU,2022-12-08 02:33:36,59.9816,45.7854,-9.96,73,63,3.92
536,Bartica,GY,2022-12-08 02:33:37,6.4,-58.6167,25.18,99,100,1.04
537,Ostrovnoy,RU,2022-12-08 02:33:38,68.0531,39.5131,-7.58,93,65,3.14
538,Batagay,RU,2022-12-08 02:33:39,67.6333,134.6333,-31.47,98,100,0.86
539,Gat,IL,2022-12-08 02:29:11,31.61,34.7642,14.11,86,0,0.93
540,Luwuk,ID,2022-12-08 02:33:41,-0.9516,122.7875,30.13,60,83,1.86
541,Tura,IN,2022-12-08 02:33:42,25.5198,90.2201,20.97,66,30,0.33
542,Taywarah,AF,2022-12-08 02:33:44,33.35,64.4167,-1.49,82,100,0.7
