City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Umm Lajj,SA,73.26,clear sky,25.0213,37.2685,No hotel found
272,Camacupa,AO,63.32,overcast clouds,-12.0167,17.4833,No hotel found
273,Arauca,CO,76.96,few clouds,7.0847,-70.7591,Hotel Nova Park
276,Konde,TZ,76.95,few clouds,-4.95,39.75,No hotel found
278,Port Lincoln,AU,64.09,few clouds,-34.7333,135.8667,Boston Hotel
279,Victor Harbor,AU,62.67,broken clouds,-35.5667,138.6167,Hotel Victor
280,Nishihara,JP,69.46,broken clouds,26.1842,127.7558,ユインチホテル南城
281,Kattivakkam,IN,78.89,clear sky,13.2167,80.3167,No hotel found
283,Vilhena,BR,69.19,scattered clouds,-12.7406,-60.1458,No hotel found
284,Lagos,NG,77.07,broken clouds,6.5833,3.75,No hotel found
285,Duzce,TR,54.0,broken clouds,40.8389,31.1639,Hızel Otel
286,Praya,CV,75.74,clear sky,14.9215,-23.5087,Casa Sodadi
288,Sakakah,SA,56.89,clear sky,29.9697,40.2064,sakakah residence
293,Sambava,MG,74.03,light rain,-14.2667,50.1667,Royal Sava Hôtel
294,Lata,PT,63.07,overcast clouds,40.1629,-8.3327,No hotel found
296,Mao,ES,66.76,clear sky,39.8885,4.2658,Eurohotel
298,Singleton,AU,83.98,clear sky,-32.5667,151.1833,Quest Apartments
300,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
301,Nangwa,TZ,55.51,clear sky,-4.4667,35.45,No hotel found
302,Riohacha,CO,74.48,few clouds,11.5444,-72.9072,IMPERIAL
303,Umarkot,PK,63.18,clear sky,25.3616,69.7362,No hotel found
305,Champerico,GT,78.51,overcast clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
306,Salalah,OM,66.29,clear sky,17.0151,54.0924,Muscat International Hotel
310,Te Anau,NZ,72.5,light rain,-45.4167,167.7167,Lakeside Motels & Apartments
311,Tenenkou,ML,69.89,scattered clouds,14.4572,-4.9169,No hotel found
319,Lazaro Cardenas,MX,75.52,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
320,Vanimo,PG,77.32,light rain,-2.6741,141.3028,CBC Guesthouse
321,Wanxian,CN,52.11,overcast clouds,30.8039,108.3897,DoubleTree by Hilton Hotel Chongqing Wanzhou
322,Tessalit,ML,68.25,clear sky,20.1986,1.0114,No hotel found
324,Jacmel,HT,78.64,clear sky,18.2342,-72.5347,Hotel L'Amenitie
325,Adrar,MR,70.81,clear sky,20.5022,-10.0711,No hotel found
326,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Forum
331,Waipawa,NZ,70.88,few clouds,-41.4122,175.5153,No hotel found
334,Atar,MR,75.33,clear sky,20.5169,-13.0499,فندق سكليل
335,Ugento,IT,51.08,overcast clouds,39.9263,18.1574,Hotel Al 2000
336,Munak,IN,55.08,clear sky,29.5187,76.8486,No hotel found
337,Naze,JP,62.89,broken clouds,28.3667,129.4833,ビジネス旅館畠山
338,Lahaina,US,78.04,broken clouds,20.8783,-156.6825,Best Western Pioneer Inn
341,Vao,NC,75.85,few clouds,-22.6667,167.4833,Nataiwatch
345,Isangel,VU,82.2,clear sky,-19.55,169.2667,Tanna Lodge
346,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Grand Bel Air
348,Takoradi,GH,77.52,light rain,4.8845,-1.7554,Hillcrest
350,San Pedro,PH,86.36,broken clouds,14.35,121.0167,Hotel Takara
351,Praia,CV,75.74,clear sky,14.9215,-23.5087,Casa Sodadi
356,Sabang,ID,76.05,overcast clouds,5.8933,95.3214,Sabang Hill
357,Lourdes,FR,56.52,broken clouds,43.1,-0.05,Florence Hôtel
358,Soyo,AO,77.63,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
359,Guanay,BO,70.79,overcast clouds,-15.4975,-67.8797,Ritzi
361,Belmonte,BR,77.47,scattered clouds,-15.8631,-38.8828,No hotel found
362,Tshikapa,CD,67.48,light rain,-6.4167,20.8,Hôtel TSHAMUNTU
363,Trelew,AR,72.48,clear sky,-43.249,-65.3051,Patagonia Suites & Apart
364,Kismayo,SO,79.05,few clouds,-0.3582,42.5454,Kismayo Hotel
365,Japura,ID,78.73,overcast clouds,-0.3167,102.35,No hotel found
366,Gat,IL,64.4,overcast clouds,31.61,34.7642,No hotel found
367,Oranjestad,AW,78.91,few clouds,12.524,-70.027,Hotel California
369,Aitape,PG,76.73,overcast clouds,-3.1374,142.3475,No hotel found
371,Sabha,LY,63.43,clear sky,27.0377,14.4283,فندق الكاظم-سبها
372,Sao Paulo De Olivenca,BR,74.23,light rain,-3.3783,-68.8725,No hotel found
373,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
374,Lakes Entrance,AU,69.17,scattered clouds,-37.8811,147.981,Banjo Patterson Motor Inn
375,Kulhudhuffushi,MV,81.0,scattered clouds,6.6221,73.07,No hotel found
377,Pisco,PE,69.85,mist,-13.7,-76.2167,La Portada
379,Saldanha,ZA,63.97,clear sky,-33.0117,17.9442,Hoedjesbaai
382,Claremore,US,53.31,overcast clouds,36.3126,-95.6161,La Quinta
383,Coachella,US,52.23,scattered clouds,33.6803,-116.1739,Fantasy Springs Hotel
385,Taoudenni,ML,76.87,clear sky,22.6783,-3.9836,No hotel found
386,Kavieng,PG,84.38,overcast clouds,-2.5744,150.7967,Kavieng Hotel
389,Micheweni,TZ,78.26,few clouds,-4.9667,39.8333,No hotel found
390,Gladstone,AU,89.78,light rain,-23.85,151.25,Gladstone Downtown Central
392,Nelson Bay,AU,78.12,clear sky,-32.7167,152.15,No hotel found
393,Key West,US,77.0,clear sky,24.5557,-81.7826,Harborside Hotel & Marina
394,Rocafuerte,EC,73.27,scattered clouds,-0.9167,-80.4333,Hostal al Paso
397,Torremolinos,ES,68.2,broken clouds,36.6204,-4.4998,Ritual Hotel - Adults only
401,Codrington,AU,58.14,broken clouds,-38.2667,141.9667,No hotel found
405,Tabou,CI,78.26,scattered clouds,4.423,-7.3528,hôtel le rochet
406,Ambanja,MG,73.74,scattered clouds,-13.6833,48.45,Hôtel Salama Rose
407,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Praia Dourada
409,Sungaipenuh,ID,65.03,light rain,-2.0833,101.3833,Hotel Matahari
