City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Ritchie,ZA,2022-12-12 02:54:16,-29.038,24.6028,20.13,74,100,5.1
93,Tocopilla,CL,2022-12-12 02:58:15,-22.092,-70.1979,20.67,70,92,1.69
94,East London,ZA,2022-12-12 02:58:15,-33.0153,27.9116,22.23,88,100,10.11
95,Sao Filipe,CV,2022-12-12 02:58:16,14.8961,-24.4956,25.23,70,0,2.86
96,Puerto Escondido,MX,2022-12-12 02:58:17,15.85,-97.0667,25.07,78,4,2.57
97,Itarema,BR,2022-12-12 02:55:19,-2.9248,-39.9167,26.35,77,55,6.05
98,Ola,RU,2022-12-12 02:58:19,59.5833,151.2833,-24.26,93,48,3.42
99,Sawakin,SD,2022-12-12 02:58:20,19.1059,37.3321,24.53,77,37,3.57
100,Bonthe,SL,2022-12-12 02:58:21,7.5264,-12.505,25.82,85,100,1.68
101,Torbay,CA,2022-12-12 02:58:22,47.6666,-52.7314,-0.79,92,75,4.63
102,Souillac,MU,2022-12-12 02:58:23,-20.5167,57.5167,24.21,78,40,4.12
103,Banda Aceh,ID,2022-12-12 02:58:24,5.5577,95.3222,24.47,87,100,3.8
104,Bluff,NZ,2022-12-12 02:58:25,-46.6,168.3333,17.67,82,57,7.34
105,Amealco,MX,2022-12-12 02:58:26,20.1833,-100.15,9.57,51,22,1.84
106,Tuatapere,NZ,2022-12-12 02:58:26,-46.1333,167.6833,16.55,80,66,2.45
107,Yeppoon,AU,2022-12-12 02:58:27,-23.1333,150.7333,31.88,65,0,5.14
108,Butaritari,KI,2022-12-12 02:58:28,3.0707,172.7902,27.22,72,100,4.73
109,Morondava,MG,2022-12-12 02:58:29,-20.2833,44.2833,25.48,79,100,1.44
110,Bethel,US,2022-12-12 02:58:29,41.3712,-73.414,0.01,85,100,2.57
111,Guerrero Negro,MX,2022-12-12 02:55:00,27.9769,-114.0611,15.26,77,100,4.4
112,Chara,RU,2022-12-12 02:58:31,56.9064,118.2631,-22.01,81,100,2.57
113,Jalu,LY,2022-12-12 02:58:31,29.0331,21.5482,15.03,86,4,1.94
114,Sajanan,TN,2022-12-12 02:58:32,37.0573,9.2426,15.51,91,93,6.61
115,Clinton,US,2022-12-12 02:57:17,42.587,-82.9199,2.34,84,100,0.89
116,Ponta Do Sol,PT,2022-12-12 02:58:34,32.6667,-17.1,22.78,91,74,4.88
117,Norman Wells,CA,2022-12-12 02:58:34,65.282,-126.8329,-32.98,75,0,0.0
118,Borzya,RU,2022-12-12 02:58:36,50.3833,116.5167,-17.87,80,100,10.48
119,Dukat,RU,2022-12-12 02:58:37,62.55,155.55,-32.88,97,100,1.24
120,Thompson,CA,2022-12-12 02:58:38,55.7435,-97.8558,-1.91,93,100,1.54
121,Areosa,PT,2022-12-12 02:58:38,41.7178,-8.8571,12.24,96,100,6.47
122,Huarmey,PE,2022-12-12 02:58:39,-10.0681,-78.1522,20.25,85,100,3.15
123,Lagos,NG,2022-12-12 02:58:40,6.5833,3.75,26.18,89,27,1.15
124,Isla Mujeres,MX,2022-12-12 02:58:41,21.2311,-86.731,25.09,69,22,3.75
125,Harper,LR,2022-12-12 02:58:42,4.375,-7.7169,25.0,86,45,2.58
126,Fortuna,US,2022-12-12 02:58:42,40.5982,-124.1573,6.1,93,0,4.63
127,Pevek,RU,2022-12-12 02:58:43,69.7008,170.3133,-27.57,98,100,7.27
128,Sinnamary,GF,2022-12-12 02:58:44,5.3833,-52.95,24.88,86,83,3.1
129,Vila Franca Do Campo,PT,2022-12-12 02:58:45,37.7167,-25.4333,18.44,87,100,10.58
130,Lorengau,PG,2022-12-12 02:58:46,-2.0226,147.2712,28.05,76,100,1.77
131,Sorong,ID,2022-12-12 02:58:47,-0.8833,131.25,27.92,79,85,4.45
132,Rambha,IN,2022-12-12 02:59:47,19.5167,85.1,25.16,65,12,1.13
133,Charters Towers,AU,2022-12-12 02:59:48,-20.1,146.2667,34.56,34,16,4.43
134,Kamaishi,JP,2022-12-12 02:59:49,39.2667,141.8833,5.33,52,16,2.09
135,Chokurdakh,RU,2022-12-12 02:59:50,70.6333,147.9167,-30.39,99,100,3.12
136,Vostok,RU,2022-12-12 02:59:51,46.4856,135.8833,-11.56,71,100,1.35
137,Faanui,PF,2022-12-12 02:59:51,-16.4833,-151.75,22.54,95,100,9.5
138,Lincoln,US,2022-12-12 02:57:14,40.8,-96.667,-0.06,92,8,3.13
139,Athabasca,CA,2022-12-12 02:55:59,54.7169,-113.2854,-16.77,95,52,3.5
140,Tiksi,RU,2022-12-12 02:59:53,71.6872,128.8694,-27.88,95,100,5.46
141,Mae Sai,TH,2022-12-12 02:59:54,20.4335,99.8762,23.67,60,7,0.67
142,San Quintin,MX,2022-12-12 02:59:54,30.4833,-115.95,15.22,89,96,4.44
143,Mica,RO,2022-12-12 02:59:55,46.3667,24.4167,3.36,86,100,0.0
144,Nagaur,IN,2022-12-12 02:59:55,27.2,73.7333,16.82,38,35,3.49
145,Castro,BR,2022-12-12 02:59:56,-24.7911,-50.0119,19.04,95,100,0.76
146,Turan,VN,2022-12-12 02:59:56,16.0678,108.2208,22.99,73,75,2.06
147,Alofi,NU,2022-12-12 02:59:57,-19.0595,-169.9187,27.94,61,87,8.23
148,Port Hardy,CA,2022-12-12 02:59:58,50.6996,-127.4199,0.1,93,20,3.09
149,Nome,US,2022-12-12 02:59:58,64.5011,-165.4064,-9.54,87,86,3.21
